LineId,Device,type,time,Content,EventId,EventTemplate,ParameterList
36,Client03,SYSCALL,1584200382.623:4293,"arch=c000003e syscall=82 success=yes exit=0 a0=56430be56a40 a1=7fc03c00b680 a2=56430be23010 a3=8000 items=4 ppid=1832 pid=2056 auid=1000 uid=1000 gid=1000 euid=1000 suid=1000 fsuid=1000 egid=1000 sgid=1000 fsgid=1000 tty=(none) ses=1 comm=""gvfsd-metadata"" exe=""/usr/lib/gvfs/gvfsd-metadata"" key=""home""",83a6f4d4,arch<*> syscall=<*> success<*> exit=<*> <*> <*> <*> <*> items=<*> ppid=<*> pid=<*> auid=<*> uid=<*> gid=<*> euid=<*> suid=<*> fsuid=<*> egid=<*> sgid=<*> fsgid=<*> <*> ses=<*> <*> <*> <*>,"['=c000003e', '82', '=yes', '0', 'a0=56430be56a40', 'a1=7fc03c00b680 a2=56430be23010 a3=8000', '4', '1832', '2056', '1000', '1000', '1000', '1000', '1000', '1000', '1000', '1000', '1000 tty=(none)', '1', 'comm=""gvfsd-metadata"" exe=""/usr/lib/gvfs/gvfsd-metadata"" key=""home""']"
37,Client03,CWD,1584200382.623:4293,"cwd=""/home/akep""",569c5378,"cwd<*>""","['=""/home/akep']"
38,Client03,PATH,1584200382.623:4293,"item=0 name=""/home/akep/.local/share/gvfs-metadata/"" inode=516676 dev=08:01 mode=040700 ouid=1000 ogid=1000 rdev=00:00 nametype=PARENT cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0",6d14a143,item=<*> <*> inode=<*> dev=<*>:<*> mode=<*> ouid=<*> ogid=<*> rdev=<*>:<*> nametype<*> cap_fp=<*> cap_fi=<*> cap_fe=<*> cap_fver=<*>,"['0 name=""/home/akep/.local/share/gvfs-metadata/""', '516676', '08:01', '040700', '1000', '1000', '00:00', '=PARENT', '0', '0', '0', '0']"
39,Client03,PATH,1584200382.623:4293,"item=1 name=""/home/akep/.local/share/gvfs-metadata/"" inode=516676 dev=08:01 mode=040700 ouid=1000 ogid=1000 rdev=00:00 nametype=PARENT cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0",6d14a143,item=<*> <*> inode=<*> dev=<*>:<*> mode=<*> ouid=<*> ogid=<*> rdev=<*>:<*> nametype<*> cap_fp=<*> cap_fi=<*> cap_fe=<*> cap_fver=<*>,"['1 name=""/home/akep/.local/share/gvfs-metadata/""', '516676', '08:01', '040700', '1000', '1000', '00:00', '=PARENT', '0', '0', '0', '0']"
40,Client03,PATH,1584200382.623:4293,"item=2 name=""/home/akep/.local/share/gvfs-metadata/home-2f0477ff.log.7AN6G0"" inode=517922 dev=08:01 mode=0100644 ouid=1000 ogid=1000 rdev=00:00 nametype=DELETE cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0",6d14a143,item=<*> <*> inode=<*> dev=<*>:<*> mode=<*> ouid=<*> ogid=<*> rdev=<*>:<*> nametype<*> cap_fp=<*> cap_fi=<*> cap_fe=<*> cap_fver=<*>,"['2 name=""/home/akep/.local/share/gvfs-metadata/home-2f0477ff.log.7AN6G0""', '517922', '08:01', '0100644', '1000', '1000', '00:00', '=DELETE', '0', '0', '0', '0']"
41,Client03,PATH,1584200382.623:4293,"item=3 name=""/home/akep/.local/share/gvfs-metadata/home-2f0477ff.log"" inode=517922 dev=08:01 mode=0100644 ouid=1000 ogid=1000 rdev=00:00 nametype=CREATE cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0",6d14a143,item=<*> <*> inode=<*> dev=<*>:<*> mode=<*> ouid=<*> ogid=<*> rdev=<*>:<*> nametype<*> cap_fp=<*> cap_fi=<*> cap_fe=<*> cap_fver=<*>,"['3 name=""/home/akep/.local/share/gvfs-metadata/home-2f0477ff.log""', '517922', '08:01', '0100644', '1000', '1000', '00:00', '=CREATE', '0', '0', '0', '0']"
42,Client03,PROCTITLE,1584200382.623:4293,"proctitle=""/usr/lib/gvfs/gvfsd-metadata""",5ea41cea,"proctitle<*>""","['=""/usr/lib/gvfs/gvfsd-metadata']"
43,Client03,SYSCALL,1584200382.623:4294,"arch=c000003e syscall=82 success=yes exit=0 a0=7fc03c00b8f0 a1=7fc03c00b8b0 a2=ffffffffffffff80 a3=0 items=4 ppid=1832 pid=2056 auid=1000 uid=1000 gid=1000 euid=1000 suid=1000 fsuid=1000 egid=1000 sgid=1000 fsgid=1000 tty=(none) ses=1 comm=""gvfsd-metadata"" exe=""/usr/lib/gvfs/gvfsd-metadata"" key=""home""",83a6f4d4,arch<*> syscall=<*> success<*> exit=<*> <*> <*> <*> <*> items=<*> ppid=<*> pid=<*> auid=<*> uid=<*> gid=<*> euid=<*> suid=<*> fsuid=<*> egid=<*> sgid=<*> fsgid=<*> <*> ses=<*> <*> <*> <*>,"['=c000003e', '82', '=yes', '0', 'a0=7fc03c00b8f0', 'a1=7fc03c00b8b0 a2=ffffffffffffff80 a3=0', '4', '1832', '2056', '1000', '1000', '1000', '1000', '1000', '1000', '1000', '1000', '1000 tty=(none)', '1', 'comm=""gvfsd-metadata"" exe=""/usr/lib/gvfs/gvfsd-metadata"" key=""home""']"
44,Client03,CWD,1584200382.623:4294,"cwd=""/home/akep""",569c5378,"cwd<*>""","['=""/home/akep']"
45,Client03,PATH,1584200382.623:4294,"item=0 name=""/home/akep/.local/share/gvfs-metadata/"" inode=516676 dev=08:01 mode=040700 ouid=1000 ogid=1000 rdev=00:00 nametype=PARENT cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0",6d14a143,item=<*> <*> inode=<*> dev=<*>:<*> mode=<*> ouid=<*> ogid=<*> rdev=<*>:<*> nametype<*> cap_fp=<*> cap_fi=<*> cap_fe=<*> cap_fver=<*>,"['0 name=""/home/akep/.local/share/gvfs-metadata/""', '516676', '08:01', '040700', '1000', '1000', '00:00', '=PARENT', '0', '0', '0', '0']"
46,Client03,PATH,1584200382.623:4294,"item=1 name=""/home/akep/.local/share/gvfs-metadata/"" inode=516676 dev=08:01 mode=040700 ouid=1000 ogid=1000 rdev=00:00 nametype=PARENT cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0",6d14a143,item=<*> <*> inode=<*> dev=<*>:<*> mode=<*> ouid=<*> ogid=<*> rdev=<*>:<*> nametype<*> cap_fp=<*> cap_fi=<*> cap_fe=<*> cap_fver=<*>,"['1 name=""/home/akep/.local/share/gvfs-metadata/""', '516676', '08:01', '040700', '1000', '1000', '00:00', '=PARENT', '0', '0', '0', '0']"
47,Client03,PATH,1584200382.623:4294,"item=2 name=""/home/akep/.local/share/gvfs-metadata/home.42B7G0"" inode=516713 dev=08:01 mode=0100600 ouid=1000 ogid=1000 rdev=00:00 nametype=DELETE cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0",6d14a143,item=<*> <*> inode=<*> dev=<*>:<*> mode=<*> ouid=<*> ogid=<*> rdev=<*>:<*> nametype<*> cap_fp=<*> cap_fi=<*> cap_fe=<*> cap_fver=<*>,"['2 name=""/home/akep/.local/share/gvfs-metadata/home.42B7G0""', '516713', '08:01', '0100600', '1000', '1000', '00:00', '=DELETE', '0', '0', '0', '0']"
48,Client03,PATH,1584200382.623:4294,"item=3 name=""/home/akep/.local/share/gvfs-metadata/home"" inode=516713 dev=08:01 mode=0100600 ouid=1000 ogid=1000 rdev=00:00 nametype=CREATE cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0",6d14a143,item=<*> <*> inode=<*> dev=<*>:<*> mode=<*> ouid=<*> ogid=<*> rdev=<*>:<*> nametype<*> cap_fp=<*> cap_fi=<*> cap_fe=<*> cap_fver=<*>,"['3 name=""/home/akep/.local/share/gvfs-metadata/home""', '516713', '08:01', '0100600', '1000', '1000', '00:00', '=CREATE', '0', '0', '0', '0']"
49,Client03,PROCTITLE,1584200382.623:4294,"proctitle=""/usr/lib/gvfs/gvfsd-metadata""",5ea41cea,"proctitle<*>""","['=""/usr/lib/gvfs/gvfsd-metadata']"
50,Client03,SYSCALL,1584200382.631:4295,"arch=c000003e syscall=257 success=yes exit=10 a0=ffffff9c a1=7fc03c00b8f0 a2=2 a3=0 items=1 ppid=1832 pid=2056 auid=1000 uid=1000 gid=1000 euid=1000 suid=1000 fsuid=1000 egid=1000 sgid=1000 fsgid=1000 tty=(none) ses=1 comm=""gvfsd-metadata"" exe=""/usr/lib/gvfs/gvfsd-metadata"" key=""home""",83a6f4d4,arch<*> syscall=<*> success<*> exit=<*> <*> <*> <*> <*> items=<*> ppid=<*> pid=<*> auid=<*> uid=<*> gid=<*> euid=<*> suid=<*> fsuid=<*> egid=<*> sgid=<*> fsgid=<*> <*> ses=<*> <*> <*> <*>,"['=c000003e', '257', '=yes', '10', 'a0=ffffff9c', 'a1=7fc03c00b8f0 a2=2 a3=0', '1', '1832', '2056', '1000', '1000', '1000', '1000', '1000', '1000', '1000', '1000', '1000 tty=(none)', '1', 'comm=""gvfsd-metadata"" exe=""/usr/lib/gvfs/gvfsd-metadata"" key=""home""']"
51,Client03,CWD,1584200382.631:4295,"cwd=""/home/akep""",569c5378,"cwd<*>""","['=""/home/akep']"
